amedas_code,name,name_kana,name_en,latitude,longitude,altitude_m,station_type,elems,prec_no,block_no,etrn_name,match_status,candidate_block_nos,station_class,rank_url
11001,宗谷岬,ソウヤミサキ,Cape Soya,45.52,141.935,26,C,11112010,11,1284,宗谷岬,exact,1284,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1284&year=&month=&day=&view=
11016,稚内,ワッカナイ,Wakkanai,45.415,141.678333,3,A,11111111,11,47401,稚内,exact,47401,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=11&block_no=47401&year=&month=&day=&view=
11046,礼文,レブン,Rebun,45.305,141.045,65,C,11112010,11,1546,礼文,exact,1546,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1546&year=&month=&day=&view=
11061,声問,コエトイ：稚内空港,Koetoi,45.403333,141.801667,8,C,11110100,11,1528,声問,exact,1528,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1528&year=&month=&day=&view=
11076,浜鬼志別,ハマオニシベツ,Hamaoni-Shibetsu,45.335,142.17,13,C,11112110,11,1285,浜鬼志別,exact,1285,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1285&year=&month=&day=&view=
11091,本泊,モトドマリ：利尻空港,Motodomari,45.241667,141.186667,30,C,11110000,11,1512,本泊,exact,1512,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1512&year=&month=&day=&view=
11121,沼川,ヌマカワ,Numakawa,45.248333,141.851667,23,C,11112110,11,1203,沼川,exact,1203,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1203&year=&month=&day=&view=
11151,沓形,クツガタ,Kutsugata,45.178333,141.138333,14,C,11112010,11,0002,沓形,exact,0002,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=0002&year=&month=&day=&view=
11176,豊富,トヨトミ,Toyotomi,45.101667,141.78,14,C,11112110,11,1054,豊富,exact,1054,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1054&year=&month=&day=&view=
11206,浜頓別,ハマトンベツ,Hamatonbetsu,45.125,142.35,18,C,11112010,11,0003,浜頓別,exact,0003,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=0003&year=&month=&day=&view=
11276,中頓別,ナカトンベツ,Nakatonbetsu,44.965,142.28,25,C,11112110,11,1051,中頓別,exact,1051,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=1051&year=&month=&day=&view=
11291,北見枝幸,キタミエサシ,Kitami-Esashi,44.94,142.585,7,B,11111111,11,47402,北見枝幸,exact,47402,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=11&block_no=47402&year=&month=&day=&view=
11316,歌登,ウタノボリ,Utanobori,44.841667,142.48,14,C,11112110,11,0005,歌登,exact,0005,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=11&block_no=0005&year=&month=&day=&view=
12011,中川,ナカガワ,Nakagawa,44.828333,142.076667,22,C,11112010,12,1201,中川,exact,1201,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1201&year=&month=&day=&view=
12041,音威子府,オトイネップ,Otoineppu,44.726667,142.265,40,C,11112110,12,1197,音威子府,exact,1197,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1197&year=&month=&day=&view=
12141,美深,ビフカ,Bifuka,44.48,142.341667,77,C,11112110,12,0006,美深,exact,0006,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0006&year=&month=&day=&view=
12181,名寄,ナヨロ,Nayoro,44.37,142.456667,89,C,11112110,12,0008,名寄,exact,0008,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0008&year=&month=&day=&view=
12231,下川,シモカワ,Shimokawa,44.295,142.636667,143,C,11112110,12,0010,下川,exact,0010,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0010&year=&month=&day=&view=
12261,士別,シベツ,Shibetsu,44.186667,142.416667,135,C,11112010,12,0011,士別,exact,0011,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0011&year=&month=&day=&view=
12266,朝日,アサヒ,Asahi,44.118333,142.595,225,C,11112010,12,1047,朝日,exact,1047,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1047&year=&month=&day=&view=
12301,和寒,ワッサム,Wassamu,44.028333,142.41,150,C,11112110,12,1055,和寒,exact,1055,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1055&year=&month=&day=&view=
12386,江丹別,エタンベツ,Etanbetsu,43.87,142.26,140,C,11112010,12,1191,江丹別,exact,1191,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1191&year=&month=&day=&view=
12396,比布,ピップ,Pippu,43.87,142.47,164,C,11112010,12,1048,比布,exact,1048,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1048&year=&month=&day=&view=
12411,上川,カミカワ,Kamikawa,43.846667,142.753333,324,C,11112110,12,0015,上川,exact,0015,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0015&year=&month=&day=&view=
12442,旭川,アサヒカワ,Asahikawa,43.756667,142.371667,120,A,11111111,12,47407,旭川,exact,47407,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=12&block_no=47407&year=&month=&day=&view=
12451,東川,ヒガシカワ,Higashikawa,43.701667,142.508333,215,C,11112010,12,1184,東川,exact,1184,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1184&year=&month=&day=&view=
12501,東神楽,ヒガシカグラ：旭川空港,Higashi-Kagura,43.67,142.446667,211,C,11110100,12,1458,東神楽,exact,1458,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1458&year=&month=&day=&view=
12512,志比内,シビナイ,Shibinai,43.643333,142.581667,310,C,11112010,12,1185,志比内,exact,1185,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1185&year=&month=&day=&view=
12551,美瑛,ビエイ,Biei,43.588333,142.493333,250,C,11112110,12,1052,美瑛,exact,1052,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1052&year=&month=&day=&view=
12596,上富良野,カミフラノ,Kami-Furano,43.455,142.465,220,C,11112010,12,1190,上富良野,exact,1190,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1190&year=&month=&day=&view=
12626,富良野,フラノ,Furano,43.333333,142.4,174,C,11112110,12,0021,富良野,exact,0021,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=0021&year=&month=&day=&view=
12632,麓郷,ロクゴウ,Rokugo,43.301667,142.521667,315,C,11112010,12,1280,麓郷,exact,1280,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1280&year=&month=&day=&view=
12691,幾寅,イクトラ,Ikutora,43.168333,142.568333,350,C,11112110,12,1188,幾寅,exact,1188,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1188&year=&month=&day=&view=
12746,占冠,シムカップ,Shimukappu,42.978333,142.395,332,C,11112110,12,1189,占冠,exact,1189,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=12&block_no=1189&year=&month=&day=&view=
13061,天塩,テシオ,Teshio,44.893333,141.761667,9,C,11112110,13,0024,天塩,exact,0024,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=13&block_no=0024&year=&month=&day=&view=
13086,遠別,エンベツ,Enbetsu,44.718333,141.806667,7,C,11112010,13,0025,遠別,exact,0025,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=13&block_no=0025&year=&month=&day=&view=
13121,初山別,ショサンベツ,Shosanbetsu,44.523333,141.77,27,C,11112110,13,1216,初山別,exact,1216,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=13&block_no=1216&year=&month=&day=&view=
13146,焼尻,ヤギシリ,Yagishiri,44.428333,141.421667,38,C,11112010,13,1213,焼尻,exact,1213,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=13&block_no=1213&year=&month=&day=&view=
13181,羽幌,ハボロ,Haboro,44.363333,141.7,8,B,11111111,13,47404,羽幌,exact,47404,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=13&block_no=47404&year=&month=&day=&view=
